DRUGS,ROOTS,VARIANTS
alginate arrow,"alginate arow,
alginate arrow,
alginate de sodium,
alginate de sodium arrow,
alginate sodium","alginate arow,
alginate arrow,
alginate de sodium,
alginate de sodium arrow,
alginate sodium"
algofene,algofene,"algofene sirop,
algofene sp"
allercet,allercet,"allercet,
allercet cp,
allercet sirop,
allercet sp"
allergiflash,allergiflash,"allergiflash,
allergiflash - 0,05%, b/10,
allergiflash collyre"
allergine,allergine,allergine sp
allergyl,allergyl,allergyl sp
allopurinol,allopurinol,"allopurinol 300,
allopurinol 300 mg,
allopurinol cp 100mg"
"almax, almax sh","almax, almax sh","almax,
almax forte,
almax forte sachet,
almax forte sachets,
almax forte sch,
almax sachet,
almax sirop,
almax sp,
almax sh"
almox,almox,almox forte
alofact,alofact,"alofact,
alofact cp"
alphagan,alphagan,"alphagan,
alphagan collyre"
alphavit,alphavit,alphavit sirop
alpraz,alpraz,"alpraz 0,5,
alpraz 0,5 cp,
alpraz 0,5 mg,
alpraz 0,5mg,
alpraz 0,5mg comprimes,
alpraz 0,5mg cp,
alpraz 0,5mg cpes,
alpraz 1 mg,
alpraz 1mg"
altraflam,altraflam,altraflam cp
alvityl,"alvityl, alvityl tonus, alvityl vitalite","alvityl,
alvityl cp,
alvityl sirop,
alvityl tonus,
alvityl tonus cp,
alvityl vitalite sirop"
alzol,alzol,alzol sp
amaday,"amaday, amaday pl","amaday 10,
amaday 10 mg,
amaday pl,
amaday pl 10/4,
amaday pl 10/5,
amaday pl 10/8,
amaday pl 5/4"
amapine,amapine,"amapine 10 mg,
amapine 5mg"
amarel,amarel,"amarel 1 mg cp,
amarel 3 mg"
ambrolite,"ambrolite, ambrolite gs","ambrolite,
ambrolite sp,
ambrolite gs,
ambrolite gs sirop"
amfocin,amfocin,"amfocin 1g,
amfocin 1g sachet,
amfocin 500 cp"
amifer,amifer,"amifer,
amifer sirop"
aminopep,aminopep,"amino pep,
aminopep,
aminopep forte,
aminopep sp"
amitron,amitron,amitron 500
amlong,"amlo vh, amlodipine, amlodipine bgr, amlodipine gh , amlong, amlopamide,
amloperin","amlo vh 10/12,5/160,
amlo vh 10/25/160,
amlodipine 10,
amlodipine 5 mg, 
amlodipine bgr 10 mg,
amlodipine gh 5mg,
amlong 5 mg,
amlong 5mg,
amlong gelule 5mg, 
amlopamide 10/1.5,
amlopamide 5/1.5,
amloperin 10/10,
amloperin 10/10 cp,
amloperin 10/5,
amloperin 10/5mg,
amloperin 10mg/5mg,
amloperin 5 mg cp,
amloperin 5/5"
amodipine,amodipine,amodipine 10 mg
amlo ,"amox, amox acide clav, amox clav,
amox clav denk, amox disp,
amox disper, amox gh,
amoxi, amoxi clav, amoxi denk,
amoxicilline, amoxicilline arrow pellic, 
amoxicilline creat, amoxicillline, amoxiclav denk, 
amoxicillin","amox,
amox 1 g comprime,
amox 100 mg,
amox 125 mg,
amox 1g,
amox 20,
amox 250 mg,
amox 500,
amox 500 gel,
amox 500 mg,
amox 500 sirop,
amox cp,
amox cp 1g,
amox cp 250 mg,
amox cp 500 mg,
amox gel,
amox gel 500,
amox sp,
amox sp 250 mg,
amox sp 250mg,,amox acide clav 5000 mg,
amox clav 1g,
amox clav 1g cp,
amox clav denk,
amox clav denk 1g,
amox disp,
amox disper,
amox gh 1 g,
amoxi 250 sp,
amoxi gel,
amoxi clav inj,
amoxi denk 1g,
amoxi denk 1g cp,
amoxicilline, amoxicilline 1000 mg cp,
amoxicilline 1g,
amoxicilline 500,
amoxicilline 500 gel,
amoxicilline 500 mg,
amoxicilline 500 mg gel,
amoxicilline 500 mg gelules,
amoxicilline gel,
amoxicilline gel 500 mg,
amoxicilline sirop 250 mg,
amoxicilline sp 250 mg, 
amoxicilline arrow 1g cp pellic,
amoxicilline creat,
amoxicillline 1g cp, 
amoxiclav denk,
sachets amoxicillin 500 mg
amoxiclav denk 1g"
ampi,ampi,"ampi,
ampi 1g,
ampi 4g"
amplex,amplex,"amplex 1g,
amplex 1g inj,
amplex 1g sachets,
amplex 1g/125,
amplex 250 mg sp,
amplex 250mg,
amplex sachet 1g"
amtiba,amtiba,amtiba cp
amuchina,amuchina,amuchina
amva denk,amva denk,"amva denk 10/160,
amva denk 10/160 mg,
amva denk 5/80 mg,
amva-denk 10/ 160"
anacaps expert,anacaps expert,anacaps expert gelule
andol,"andol, andol c doliprane vit c","andol 1 g,
andol 1000mg,
andol 1g,
andol 1g cp,
andol 1g efferv,
andol 500,
andol 500 mg comprime,
andol 500 mg cp,
andol c (doliprane vit c)"
angi,"angi, anginovag, anginovag collutoire, angiovag, angispray","angi-spray,
angi-spray - 0,25/0,1g, 100g, fl/20ml,
anginovag,
anginovag spray,
anginovag collutoire,
angiovag spray,
angispray"
angyspray,angyspray,angyspray
anomex,"anomex, anomex kit","anomex,
anomex creme,
anomex suppo,
anomex kit"
antadys,antadys,"antadys,
antadys 100 mg,
antadys cp"
antalgex,"antalgex, antalgex t","antalgex,
antalgex t,
antalgex t - 325mg/37,5mg, b/20,
antalgex t comprimes,
antalgex t cp,
antalgex t gel,
antalgex t gelule,
antalgex t gelules"
anthelios fluid,anthelios fluid,anthelios fluid
anticid,anticid,anticid plus sp
antigone,antigone,antigone cp
apazide,apazide,apazide 200 mg
apdrops,"apdrops, apdrops dx","apdrops,
apdrops collyre,
apdrops dx,
apdrops dx collyre"
apdyl,"apdyl, apdyl h","apdyl,
apdyl sp,
apdyl h,
apdyl h -,
apdyl h sirop,
apdyl h sp,
apdyl h sp buv"
apetamin,apetamin,"apetamin,
apetamin sp"
apexime,apexime,"apexime 1000 sp,
apexime 15ml,
apexime 250 mg,
apexime 500,
apexime 500 mg cp,
apexime 500mg,
apexime cp,
apexime sirop,
apexime sp"
apflu,"apflu, apflu sache","apflu,
apflu sachet,
apflu sache"
apidra,apidra,apidra
apifen,apifen,"apifen 400 cp,
apifen cp"
appetine,appetine,appetine sp
apramol,apramol,"apramol,
apramol 1000,
apramol 1000 mg,
apramol 1000 mg cp,
apramol 1g,
apramol 1g cp,
apramol 1g cp efferv,
apramol 500,
apramol 500 mg,
apramol 500mg,
apramol 500mg effervescent,
apramol cp 1g efferv"
aprofort,aprofort,"aprofort 300 mg,
aprofort 300/10"
aprovel,aprovel,aprovel 150mg
aqualarm,"aqualarm, aqualarm ud,
aqualarm ud intensive,
aqualarm up,
aqualarm up hyfresh,
aqualarm up intensive,
aqualarm up ou larmabak","aqualarm,
aqualarm collyre,
aqualarm collyre 10 ml,
aqualarm ud - 0,2% , b/30,
aqualarm ud intensive,
aqualarm up,
aqualarm up collyre,
aqualarm up 10 ml collyre / hyfresh collyre,
aqualarm up intensive,
aqualarm up intensive collyre,
aqualarm up ou larmabak"
"apdrops, apdrops dx",arcoxia,"arcoxia,
arcoxia 120,
arcoxia 120 mg,
arcoxia 60 mg,
arcoxia 60mg,
arcoxia 90,
arcoxia 90 mg"
arphos,arphos,arphos
artane,artane,"artane 5 mg,
artane 5 mg cp"
artefan,"artefan, artefan artrim","artefan ( artrim) sirop, 
artefan 80/480,
artefan adulte"
artegen,artegen,"artegen 60 mg,
artegen inj 120 mg"
artelac,artelac,"artelac,
artelac colly,
artelac collyre"
artiflex,artiflex,"artiflex,
artiflex creme,
artiflex gel"
artrim,"artrim, artrim gh","artrim,
artrim 10 / 10,
artrim 80/48,
artrim 80/480,
artrim 80/480 comp,
artrim cp 80/480,
artrim sirop,
artrim sp,
artrim gh,
artrim gh 80/480"
ascabiol,ascabiol,"ascabiol lotion,
ascabiol solut"
ascard,ascard,ascard 75
asmocid,asmocid,"asmocid 40,
asmocid cp"
asmoflam,asmoflam,asmoflam
aspegic,"aspegic, aspegic pdre or,
aspegic sach, 
aspegic sacht","aspegic,
aspegic 100,
aspegic 100 mg,
aspegic 100 mg nrs,
aspegic 1000,
aspegic 100mg,
aspegic nourrison,
aspegic nourrisson,
aspegic nrs,
aspegic scht nrs,
aspegic100,
aspegic1000,
aspegic 100 pdre or,
aspegic 100 sach
aspegic sacht"
aspirine,"aspirin cardio, aspirine, aspirine cardio, 
aspirine cardio ou aspirine dose,
aspirine upsa","aspirin cardio,
aspirine 500 mg,
aspirine cardio,
aspirine cardio 100,
aspirine cardio 100 mg,
aspirine cardio 100mg,
aspirine cardio cp,
aspirine cardio ou aspirine 100 dose,
aspirine upsa"
astaph,astaph,"astaph,
astaph 125 mg,
astaph 150 mg sp,
astaph 1g,
astaph 250,
astaph 250 mg,
astaph 250 sp,
astaph 250mg,
astaph 500,
astaph 500 mg,
astaph 500 mg gelules,
astaph 500mg,
astaph 500mg gel,
astaph cp,
astaph sirop,
astaph sp,
astaph sp 125,
astaph sp 250mg/5ml"
asthalex,asthalex,"asthalex,
asthalex - 2mg/5mg, fl/100ml,
asthalex sp"
asthe,asthe,"asthe 1000,
asthe 1000 sachet"
astyfer,astyfer,"astyfer,
astyfer gle,
astyfer sp"
astymin,"astymin, astymin c, astymin cgouttes, astymin sn","astymin,
astymin fort sirop,
astymin forte,
astymin gel,
astymin inj,
astymin sirop,
astymin sp,
astymin c,
astymin c gouttes,
astymin c sp,
astymin cgouttes,
astymin sn sp"
asu denk,asu denk,asu denk
atarax,"atarax, atarax pellic litacold sommeil","atarax,
atarax 25,
atarax 25 mg,
atarax 25 mg cp,
atarax 25mg,
atarax cp,
atarax 25mg cp pellic sec (litacold sommeil)"
atelle du genou droit,atelle du genou droit,atelle du genou droit
atepadene,atepadene,"atepadene,
atepadene cp"
atoderm huile de douche,atoderm huile de douche,atoderm huile de douche
atorfit,atorfit,"atorfit 10,
atorfit 20"
atropine,atropine,"atropine 0,5% collyre,
atropine inj"
attelle chevillere ligastrap,attelle chevillere ligastrap,attelle chevillere ligastrap
attelle poignet valva,attelle poignet valva,attelle poignet valva
augmentin,"augmentin, augmentin enft","augmentin,
augmentin - 100 mg/12,50 mg/ml ,fl/60ml,
augmentin 1 g,
augmentin 100 /12,50 suspension,
augmentin 100 mg/12,5 sirop,
augmentin 125 mg sp,
augmentin 1g,
augmentin 1g sachet,
augmentin 1g sachets,
augmentin 500,
augmentin 500 mg,
augmentin cp,
augmentin sirop,
augmentin sirop enfant,
augmentin sp,
augmentin sp 100mg/12,5 mg/ml,
augmentin sp enfant,
augmentin sp nrs,
augmentin sirop enft"
aureo,"aureo, aureomycine","aureo 1% pde, aureomycine pde"
auricularum,auricularum,"auricularum,
auricularum gouttes,
auricularum gttes"
auromox duo,auromox duo,auromox-duo 1g
avamys,avamys,"avamys,
avamys spray,
avamys spray 120"
avas,avas,"avas 10mg,
avas 20 mg,
avas 20mg"
avaxim,avaxim,avaxim 80 inj
avazir,avazir,"avazir,
avazir collyre"
avene fluid,"avene cspf t, avene fluid","avene cspf - t/40g,
avene fluid"
avlocardyl,avlocardyl,"avlocardyl 40 mg,
avlocardyl 40mg"
axaban denk,axaban denk,axaban denk 5 mg
az,az,"az 500,
az 500 mg,
az 500mg"
azarga,azarga,"azarga,
azarga collyre"
azibact,azibact,"azibact,
azibact 500,
azibact 500 cp,
azibact 500 mg,
azibact 500 mg cp,
azibact 500mg"
azicur,"azicur, azicure, azicure ml","azicur sp,
azicure,
azicure 1g,
azicure 200 mg sirop,
azicure 200 sp,
azicure 200mg,
azicure 200mg sirop,
azicure 250,
azicure 250 mg,
azicure 250 mg cp,
azicure 250mg,
azicure 250mg cp,
azicure 500,
azicure 500 cp,
azicure 500 mg,
azicure 500 mg cp,
azicure 500 sp,
azicure 500mg,
azicure 500mg cp,
azicure cp,
azicure cp 500,
azicure sirop,
azicure sp,
azicure15 ml"
azient,azient,azient 500
aziet,aziet,aziet 500 mg
azilide,azilide,"azilide 500,
azilide 500 mg,
azilide 500mg"
azit,"azit, azithrin, azithrine, azitrine, azithro, azithro gh, azithro mp , 
azitro, azitro gh, azithromycine, azithromycine dose unique","azit 500mg,
azithrin 500,
azithrin 500 mg,
azithrin 500mg,
azithrin sirop,
azithrin sp,
azithrine 500 mg,
azithrine sirop, 
azitrine 250mg,
azitrine 500,
azitrine 500 cp,
azitrine cp,
azitrine sp,
azithro 500,
azithro 500 cp,
azithro 500 mg gelule,
azithro 500 mg gelules,
azithro 500mg,
azithro 500 mg gh,
azithro gh 500,
azithro gh 500 mg,
azithro gh 500 mg cp,
azithro gh sp,
azithro-gh - 500mg,
azithro 500 mp"",
azitro 500, 
azitro gh,
azitro gh 500,
azithromycine 500 mg,
azithromycine dose unique"
azythro,azythro,azythro sachet 100mg
azix,"azix, azixs","azix,
azix -suspension,
azix 250 mg cp,
azix 500,
azix 500 cp,
azix 500 mg,
azix 500 mg comprime,
azix 500 mg cp,
azix 500mg comp,
azix 500mg comprime,
azix 500mg cp,
azix cp,
azix cp 500,
azix cp 500mg,
azix sirop,
azix sp,
azix sp 200 mg/5ml,
azix suspension,
azixs sp"
azopt,azopt,azopt collyre
azro,azro,"azro 500 mg,
azro 500 mg cp,
azro 500mg,
azro 500mg cp"
azyter,azyter,"azyter,
azyter collyre,
azyter unidose"
vit,"vit, vit a faure,
vit c,vit c upsa,
vit denk, vit k","b vit fort,
vit 4,
vit b 12,
vit b 12 cp,
vit b forte,
vit b12,
vit cp,
vit c,
vit c 1000 cp eff,
vit c cp,
vit c inj,
vit k,
vit a faure,
vit b denk,
vit c 1000 upsa cpes eff,
vit c upsa"
c vit,c vit,c vit
babysoin,babysoin,babysoin
bacqure,"bacqure, bacqure poudre perfuseur","bacqure inj,
bacqure poudre/perfuseur"
bactoclav,"bactoclav, bactoclav poudre","bactoclav,
bactoclav 1000 mg,
bactoclav 1000 mg comprime,
bactoclav 1g,
bactoclav 1g cp,
bactoclav 250 mg sirop,
bactoclav cp 1g,
bactoclav sirop,
bactoclav sp,
bactoclav sp enfant,
bactoclav 250 poudre"
bactrim,bactrim,"bactrim 480 mg cp,
bactrim sp,
bactrim sp 200mg/40mg,
cp bactrim forte"
bande,"bande, bande de gaz,
bande gaz, bande velpeau 
bandelette accu chech,
bandelettes accu chek,
bandelette c","bande,
bande de gaz,
bande gaz,
bande velpeau,
bandelette accu chek ,
bandelette accu chech,
bandelette g c"
baneocin,"baneocin, baneocin pmd,
baneocin poudre","baneocin,
baneocin creme,
baneocin pde,
baneocin pmde,
baneocin pomade,
baneocin pommade,
baneocin pmd,
baneocin poudre"
bariederm d'uriage,bariederm d'uriage,bariederm d'uriage creme
bas de contention,bas de contention,bas de contention
becotide,becotide,becotide spray
becozyme,becozyme,"becozyme,
becozyme inj"
bekracine,bekracine,"bekracine,
bekracine 200,
bekracine 200 mg,
bekracine sp"
bepanthen,"bepanthen, bepanthene pmmde","bepanthen,
bepanthen creme,
bepanthen pde,
bepanthene pmmde"
berroca,berroca,berroca
betaderm,betaderm,"betaderm,
betaderm - 0.001,
betaderm creme"
betadine,"betadine, betadine scrub,
betadine de, betadine dermique,
betadine gyneco, 
betadine gyneco necessaires,
betadine jaune,
betadine rouge,
betadine gynecologique avec necessaire,
betadine vert, betadine verte","betadine,
betadine 4% scrub
betadine dermique,
betadine gyneco,
betadine gyneco + necessaires,
betadine gyneco+necessaires,
betadine jaune,
betadine rouge,
betadine rouge 125 ml,
betadine solution gynecologique avec necessaire,
betadine vert,
betadine vert bb,
betadine verte,
betadine verte solution"
betamethasone,"betamethasone arrow, betamethasone gh","betamethasone arrow,
betamethasone arrow gtte,
betamethasone arrow gtts,
betamethasone arrow solution,
betamethasone gh"
bethametasone,bethametasone,bethametasone creme
betaserc,betaserc,"betaserc,
betaserc comprime,
betaserc comprimes,
betaserc cp"
betastene,"betastene, betastenegouttes","betastene,
betastene - 2mg, b/20,
betastene 0,05% gtt,
betastene 2,
betastene 2mg,
betastene cp 2 mg,
betastene goutte,
betastene gouttes,
betastene gouttes buvables,
betastene gtt,
betastene gtte,
betastene gttes,
betastene susp buv,
betastenegouttes"
betnovex,betnovex,"betnovex 2 mg,
betnovex creme,
betnovex inj"
bi orangin,bi orangin,bi orangin
bi oragin ,bi oragin ,bi-oragin
biafine,biafine,biafine
biakof,biakof,biakof sirop
biba,"biba, biba multivit","biba,
biba sirop,
biba sp, 
biba sirop multivit"
biberon,"biberon, biberon en verre, biberon luc et lea","biberon,
biberon en verre,
biberon luc et lea"
bicar,"bicar,
bicarbonate, bicarbonate de sodium
bicarbonate de sodium poudre,
bicarbonate de soude","bicar 14%
bicarbonate 500,
bicarbonate gel 500,
bicarbonate de sodium,
bicarbonate de sodium poudre,
bicarbonate de soude"
bidontogyl,bidontogyl,"bidontogyl,
bidontogyl 1,5/250 mui/mg,
bidontogyl comp,
bidontogyl comprimes,
bidontogyl cp"
bilaxten,bilaxten,"bilaxten,
bilaxten 10 mg,
bilaxten 20,
bilaxten 20 mg,
bilaxten 20mg,
bilaxten 20mg cp,
bilaxten comprime,
bilaxten cp,
bilaxten cp 20,
bilaxten cp 20 mg,
bilaxten cp 20mg,
bilaxten cpes,
bilaxten sirop,
bilaxten sp"
bilor,bilor,"bilor 10,
bilor 10 mg cp,
bilor sirop,
bilor sp"
binozyt ou azicure,binozyt ou azicure,binozyt 500 mg ou azicure 500 mg
bio rithmo,bio rithmo,bio rithmo
bioritmo,"bioritmo, bioritmo samp","bio ritmo,
bio-ritmo,
bioritmo,
bioritmo amp,
bioritmo samp"
biobalance,"biobalance lumiskin,
biobalance super glow","biobalance lumiskin,
biobalance super glow creme"
biofar,"biofar,
biofar ace,
biofar ca,
biofar cal mag,
biofar calcium,
biofar calcium magnesium,
biofar chrome complex,
biofar fer"",
biofar magnesium,
biofar mineraux,
biofar multi,
biofar multivit,
biofar multivitamines,
biofar sans sucre vitamines mineraux,
biofar vit c,
biofar vit c zinc,
biofar vit min,
biofar vitamines mineraux
biofar vitamines mineraux t,
biofar vitamines vit c,
biofar zinc,
biofar zinc vit c","biofar 12 / 12,
biofar 12/ 12,
biofar 12/12,
biofar cp,
biofar 12 vit /12 min,
biofar ace,
biofar ca 2+ mg 2+,
biofar cal mag,
biofar fer,
biofar vit c,
biofar vit c 1 g,
biofar vit c 1000,
biofar 12 mineraux,
biofar 12 vitamines 12 mineraux - t/20,
biofar 12 vitamines/ 12 mineraux,
biofar calcium,
biofar calcium magnesium,
biofar chrome complex,
biofar magnesium,
biofar multi,
biofar multivit,
biofar multivitamines,
biofar sans sucre 12 vitamines 12 mineraux,
biofar vit c zinc,
biofar vitamines vit c,
biofar zinc,
biofar zinc- vit c"
biolane change,biolane change,biolane creme change
biomartal,biomartal,biomartal cp
biomartial,biomartial,"biomartial,
biomartial cp,
biomartial gel,
biomartial gelules"
biomatial,biomatial,biomatial gelules
biotic,biotic,"biotic plus,
biotic plus 1g,
biotic plus 500,
biotic plus 500mg"
biparfen,biparfen,"biparfen,
biparfen sp"
biplatrix,"biplatrix, biplatrix x","biplatrix 10 x2,
biplatrix 20 x 2"
bipreterax,bipreterax,bipreterax 10 mg
biprofenid,"biprofenid, biprofenid cprimes","biprofenid,
biprofenid 100,
biprofenid 100 cp,
biprofenid 200 mg,
biprofenid lp 100 comprime,
biprofenid 100 cprimes"
bisoprolol,"bisoprolol, bisoprolol gh","bisoprolol 10 mg,
bisoprolol 5mg,
bisoprolol gh 10,
bisoprolol gh 2,5"
bispirazole,bispirazole,"bispirazole,
bispirazole 1,5mui cp"
bleu,"bleu, bleu de methylene","bleu,
bleu de methylene"
blokium,blokium,blokium 50 mg
boncipro,boncipro,"boncipro,
boncipro 250,
boncipro 250 cp,
boncipro 500,
boncipro 500 mg cp,
boncipro 750,
boncipro 750 mg,
boncipro collyre,
boncipro goutte,
boncipro gouttes,
boncipro gtte,
boncipro inj,
boncipro injectable"
boostex,boostex,boostex
brimo,brimo,"brimo,
brimo coll,
brimo colly,
brimo collyre,
brimo gtte"
bromazepam,bromazepam,bromazepam cp
broncathiol,broncathiol,broncathiol sirop
bronquidiazina,bronquidiazina,"bronquidiazina,
bronquidiazina - sp,
bronquidiazina sirop,
bronquidiazina sp"
brosse souple,"brosse souple pour, brossette inter dentaire, brossettes interdentaires","brosse souple pour enfant,
brossette inter dentaire, brossettes interdentaires"
broxol,broxol,"broxol,
broxol sirop,
broxol sp"
brufen,brufen,"brufen,
brufen 400,
brufen 400 cp,
brufen cp,
brufen sirop,
brufen sp,
brufen sr"
brulex,brulex,brulex
brustan,brustan,"brustan,
brustan 400,
brustan 400 mg comprimes,
brustan cp,
brustan cpes,
brustan sirop,
brustan sp"
bruzo kid,bruzo kid,bruzo kid sp
buccothymol,"buccothymol, buccothymol de","buccothymol,
buccothymol bb,
buccothymol bb solution,
buccothymol solution,
buccothymol bain de bouche"
buto asma,buto asma,buto asma
c tri," c tri, c tri injection","

c tri,
c tri 1g,
c tri 1g inj,
c tri inj,
c-tri 1g,
c tri 1g injection,

"
c,"c, cac orange, ca orange, orange","c ac1000,
ca c 1000 -orange,
ca c 1000 orange,
cac 100 orange,
cac 1000 orange,
cac i000 orange,
ca c100 orange,
cac1000 orange,
ca c 1000,
ca c 1000 cp,
ca c 1000 cp eff,
ca c 1000 cp junior,
ca c 1000 mg,
cac 1000,
cac1000,
creme c"
 ca c sandoz, ca c sandoz,"
ca c 1000 sandoz,
ca c 1000 sandoz eff"
calben,calben,"calben,
calben 400"
ca,ca,ca++
calcium,"calcid denk, calci denk, calcibronat, calcipotriol betamethasone
calcium, calcium active, calcium magnesium,
calcium sandoz","calci d denk,
calcid denk,
calcid denk cp, 
calci d enk,
calci denk
calcibronat,
calcibronat 2g,
calcibronat comp
calcipotriol betamethasone pde,
calcium, 
calcium active, 
calcium magnesium,
calcium sandoz,
calcium sandoz 500 mg,
calcium sandoz 500 mg comprime effervescent"
calgen,"calgen, calgen pllee","calgen,
calgen 500,
calgen cp,
calgen pllee"
calgin,calgin,calgin
calm,calm,calm lait
 calmacide, calmacide,calmacide
calseptine,"calseptine, calseptine pastille","calseptine,
calseptine comprime,
calseptine comprimes,
calseptine cp,
calseptine pastille"
calsource,calsource,"calsource,
calsource sachet"
camvit,camvit,camvit plus
canaflucan,canaflucan,canaflucan 150mg cp
